ï»¿Team;Year;Category;Picture Front;Picture Back (if different);Difference to previous;Kevin;Special Edition ?;URL Front;URL Back
?;;;Picture;;x;;;;
05 Orbitel;2003;TT II;Picture;;x;;;http://www.zonadeavituallamiento.es/images/05Orbitel03.jpg;
05 Orbitel;2002;TT II;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Orbitel02.jpg;
0711 CYCLING;2017;;musette 2017 0711 cycling saby;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2017-0711-cycling-saby.jpg;
40 Criterium cycliste;1988;Race;musette 1988 40 criteium cycliste le dauphine system u;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-1988-40-criteium-cycliste-le-dauphine-system-u.jpg;
4-72-Colombia;2013;UCI America Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/4-72-Colombia13.jpg;
4-72-Colombia;2014;UCI America Tour Continental;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/4-72-Colombia14.jpg;
5 Hour Energy;2013;UCI America Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/5-Hour-Energy13.jpg;
AA Drink Cycling Team;2010;Elite-Sub23;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/AA-Drink10.jpg;
ABTF Betao - Feirense;2022;UCI Europa Tour Continental;musette 2022 abtf betao feirense;;x;x;;https://lakarra.net/wp-content/uploads/2023/01/musette-2022-abtf-betao-feirense.jpeg;
ABTF Betao - Feirense;2022;UCI Europa Tour Continental;musette 2022 abtf betao feirensen volta;;x;x;;https://lakarra.net/wp-content/uploads/2023/01/musette-2022-abtf-betao-feirensen-volta.jpeg;
ABTF Betao - Feirense;2023;UCI Europa Tour Continental;Aucune description de photo disponible.;;x;x;;https://scontent-muc2-1.xx.fbcdn.net/v/t39.30808-6/385876325_3511619735793295_8321806502734420979_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_3MU1ICtn4AAb5HxrPH&_nc_ht=scontent-muc2-1.xx&oh=00_AfAAaeM_Hmj5G5MgIHiHDk2OF57fNmIrJ_Vb5gtHanCJmg&oe=66173102;
ABX-Go Pass Slagino;2003;Elite 2;Picture;;x;;;http://www.zonadeavituallamiento.es/images/ABX-GoPass03.jpg;
ABX-Go Pass Slagino;2002;Elite 2;Picture;;x;;;http://www.zonadeavituallamiento.es/images/GoPass.jpg;
Accent.jobs-Wanty;2013;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Accent13.jpg;
Accent.jobs-Willems Veranda's;2012;UCI Europa Tour Continental;Picture;Picture;x;x;;http://www.zonadeavituallamiento.es/images/Accent12(a).jpg;http://www.zonadeavituallamiento.es/images/Accent12(b).jpg
Acqua & Sapone;2011;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone11.jpg;
